Step,City
0,City_0
1,City_1
2,City_31
3,City_28
4,City_27
5,City_25
6,City_8
7,City_30
8,City_39
9,City_37
10,City_38
11,City_49
12,City_61
13,City_50
14,City_51
15,City_15
16,City_19
17,City_20
18,City_18
19,City_17
20,City_16
21,City_21
22,City_58
23,City_56
24,City_57
25,City_7
26,City_6
27,City_52
28,City_43
29,City_44
30,City_36
31,City_26
32,City_10
33,City_12
34,City_13
35,City_14
36,City_35
37,City_34
38,City_4
39,City_55
40,City_5
41,City_54
42,City_53
43,City_9
44,City_11
45,City_3
46,City_59
47,City_60
48,City_40
49,City_41
50,City_42
51,City_45
52,City_46
53,City_48
54,City_47
55,City_32
56,City_33
57,City_23
58,City_22
59,City_2
60,City_24
61,City_29
62,City_0
